 0.709773112E-01 0.211045717E+00 0.347401141E+00 0.480151330E+00 0.609391608E+00
 0.735214777E+00 0.857711184E+00 0.976968790E+00 0.109307323E+01 0.120610787E+01
 0.131615387E+01 0.142329027E+01 0.152759398E+01 0.162913990E+01 0.172800095E+01
 0.182424812E+01 0.191795051E+01 0.200917542E+01 0.209798834E+01 0.218445305E+01
 0.226863164E+01 0.235058455E+01 0.243037062E+01 0.250804715E+01 0.258366992E+01
 0.265729322E+01 0.272896993E+01 0.279875150E+01 0.286668805E+01 0.293282836E+01
 0.299721993E+01 0.305990898E+01 0.312094053E+01 0.318035842E+01 0.323820529E+01
 0.329452270E+01 0.334935107E+01 0.340272978E+01 0.345469717E+01 0.350529053E+01
 0.355454621E+01 0.360249957E+01 0.364918504E+01 0.369463616E+01 0.373888554E+01
 0.378196497E+01 0.382390539E+01 0.386473690E+01 0.390448882E+01 0.394318971E+01
 0.398086735E+01 0.401754879E+01 0.405326037E+01 0.408802774E+01 0.412187586E+01
 0.415482904E+01 0.418691094E+01 0.421814459E+01 0.424855243E+01 0.427815628E+01
 0.430697741E+01 0.433503651E+01 0.436235373E+01 0.438894868E+01 0.441484046E+01
 0.444004766E+01 0.446458839E+01 0.448848026E+01 0.451174043E+01 0.453438560E+01
 0.455643203E+01 0.457789555E+01 0.459879159E+01 0.461913513E+01 0.463894078E+01
 0.465822278E+01 0.467699496E+01 0.469527080E+01 0.471306344E+01 0.473038563E+01
 0.474724983E+01 0.476366814E+01 0.477965235E+01 0.479521393E+01 0.481036407E+01
 0.482511364E+01 0.483947323E+01 0.485345315E+01 0.486706345E+01 0.488031389E+01
 0.489321399E+01 0.490577301E+01 0.491799997E+01 0.492990364E+01 0.494149259E+01
 0.495277512E+01 0.496375935E+01 0.497445315E+01 0.498486421E+01 0.499500000E+01
 0.500500000E+01 0.501524288E+01 0.502598332E+01 0.503724549E+01 0.504905473E+01
 0.506143762E+01 0.507442202E+01 0.508803715E+01 0.510231365E+01 0.511728365E+01
 0.513298084E+01 0.514944053E+01 0.516669977E+01 0.518479739E+01 0.520377413E+01
 0.522367268E+01 0.524453783E+01 0.526641653E+01 0.528935801E+01 0.531341389E+01
 0.533863832E+01 0.536508805E+01 0.539282261E+01 0.542190440E+01 0.545239888E+01
 0.548437466E+01 0.551790369E+01 0.555306144E+01 0.558992701E+01 0.562858337E+01
 0.566911750E+01 0.571162063E+01 0.575618839E+01 0.580292108E+01 0.585192386E+01
 0.590330701E+01 0.595718615E+01 0.601368253E+01 0.607292328E+01 0.613504172E+01
 0.620017763E+01 0.626847759E+01 0.634009529E+01 0.641519191E+01 0.649393642E+01
 0.657650604E+01 0.666308657E+01 0.675387284E+01 0.684906916E+01 0.694888975E+01
